,Target_for_rch_1,Target_for_rch_2,Target_for_rch_3,Target_for_rch_4,Target_for_rch_5,Target_for_rch_6,Target_for_rch_7,Target_for_rch_8,Target_for_rch_9,Target_for_rch_10,Target_for_rch_11,Target_for_rch_12,Target_for_rch_13,Target_for_rch_14,Target_for_rch_15,Target_for_rch_16,Target_for_rch_17,Target_for_rch_18,Target_for_rch_19,Target_for_rch_20,Target_for_rch_21,Target_for_rch_22,Target_for_rch_23,Target_for_rch_24,Target_for_rch_25,Target_for_rch_26,Target_for_rch_27,Target_for_rch_29,Target_for_rch_30,Target_for_rch_31,Target_for_rch_32,Target_for_rch_33,Target_for_rch_34,Target_for_rch_35,Target_for_rch_36,Target_for_rch_37,Target_for_rch_38,NA,NA
80,854,3838,3195,2743,2195,7312,7009,6933,NA,9884,8433,9140,NA,14330,NA,NA,NA,NA,NA,20158,17441,18536,17839,21408,20645,NA,18893,26254,23777,24471,29726,28842,28304,27109,31235,30510,32260,NA,NA
81,850,3811,3109,2463,2561,6983,6559,6939,NA,9742,8964,9137,NA,14421,NA,NA,NA,NA,NA,20042,17311,18797,17540,21411,NA,NA,18777,25815,24229,25611,29715,29239,27965,27531,30476,30409,32396,NA,NA
82,855,3734,3119,2466,2484,7096,6665,6823,NA,9614,8175,9141,NA,14333,NA,NA,NA,NA,NA,19857,17434,18796,17690,23342,NA,NA,19193,26448,24057,24837,29468,28968,28073,26437,31236,30310,32308,NA,NA
83,851,3812,3118,2882,2269,6867,6666,6717,NA,9988,8304,9029,NA,14317,NA,NA,NA,NA,NA,20157,17208,18537,17691,22210,NA,NA,19099,26449,23869,25745,29587,28848,28993,27389,31152,30511,32304,NA,NA
84,767,3598,3028,2388,2485,7201,6892,6500,NA,9880,9677,9030,NA,14224,NA,NA,NA,NA,NA,19943,17307,18538,17403,22606,NA,NA,19003,26351,24625,25744,29588,28969,28877,27390,31147,31005,32047,NA,NA
85,1067,3904,3196,2612,2562,6756,6560,6103,NA,10191,8307,9031,NA,14226,NA,NA,NA,NA,NA,19944,17308,18663,17930,23212,NA,NA,18646,25932,23779,24984,29717,28843,28875,27244,30477,30908,32354,NA,NA
86,843,3836,3116,2385,2419,6755,6561,6722,NA,9990,8968,8667,NA,14102,NA,NA,NA,NA,NA,19858,17315,18798,17837,23215,NA,NA,18648,26157,23868,24369,29730,29237,28879,27245,31148,30311,31995,NA,NA
87,1008,3839,3040,2681,2486,6866,6667,6609,NA,10306,8846,9033,NA,13974,NA,NA,NA,NA,NA,19775,17588,18801,17697,23219,NA,NA,18778,26045,23071,25294,29731,28845,28769,26978,31149,30410,32207,NA,NA
88,781,3735,3117,2812,2350,7202,6894,6005,NA,9615,8308,8914,NA,14118,NA,NA,NA,NA,NA,19945,17314,18799,16993,23343,NA,NA,18649,26451,23783,24581,29591,29238,27861,27392,31053,30312,31890,NA,NA
89,769,3841,3110,2541,2410,7097,6668,6613,NA,9871,8430,8917,NA,14225,NA,NA,NA,NA,NA,20536,17317,18664,17835,23217,NA,NA,19111,26255,23780,25289,29596,29103,28531,27535,31151,30411,32102,NA,NA
90,846,3666,3114,2746,1995,6759,7015,6515,NA,9992,8970,8791,NA,14418,NA,NA,NA,NA,NA,20402,17310,18427,17100,23083,NA,NA,18780,25816,23461,25746,29347,28847,28866,27391,30957,30216,31892,NA,NA
91,779,3891,3039,2465,2123,7098,6782,6114,NA,9750,8172,8792,NA,14420,NA,NA,NA,NA,NA,19859,17442,18428,17693,22946,NA,NA,19002,26046,23782,25291,29589,28844,28303,27537,30378,30412,32159,NA,NA
92,1065,3595,3037,2745,2487,7204,6563,6412,NA,10090,9678,8793,NA,13972,NA,NA,NA,NA,NA,19860,17319,18539,17544,23218,NA,NA,19115,26354,23332,24987,29592,28846,28867,27110,31150,30515,32355,NA,NA
93,768,3834,3036,2744,2057,7203,7016,5908,NA,9993,8166,8659,NA,13969,NA,NA,NA,NA,NA,20403,17120,18540,17840,22947,NA,NA,19112,25933,23457,25453,29590,28734,28753,27394,31066,30313,32259,NA,NA
94,857,3835,3041,2467,2338,6642,6670,5909,NA,9878,8965,8531,NA,14422,NA,NA,NA,NA,NA,19776,17312,18666,17831,22093,NA,NA,19104,26256,23697,25290,29469,28849,28074,27247,31056,30909,31945,NA,NA
95,862,3600,3034,2956,2411,6757,6896,6317,NA,9870,8847,8421,NA,14115,NA,NA,NA,NA,NA,19777,17316,18429,17541,23216,NA,NA,18895,26158,23331,25454,28831,28735,28191,27246,31065,30217,32397,NA,NA
96,1066,3736,3033,2464,2339,6758,6564,6306,NA,10094,8818,8532,NA,14221,NA,NA,NA,NA,NA,19698,17444,18430,17545,22948,NA,NA,19100,26047,23464,24367,29732,28970,28188,27538,31054,30818,32433,NA,NA
97,934,3833,2968,2682,2059,6641,7017,6112,NA,9881,8168,8270,NA,13970,NA,NA,NA,NA,NA,19699,17590,18548,17699,23213,NA,NA,19004,26353,23462,25295,29597,29105,28187,26439,31062,30413,32432,NA,NA
98,894,3529,2972,2389,2287,6986,6565,6316,NA,10192,8853,8271,NA,13971,NA,NA,NA,NA,NA,19625,17318,18431,17833,23084,NA,NA,19113,25817,23330,25876,29472,28850,27862,26343,30867,31684,31996,NA,NA
99,864,3842,2969,2957,2271,6760,6897,6012,NA,10091,8969,7878,NA,13976,NA,NA,NA,NA,NA,19307,17589,18549,17543,23220,NA,NA,18897,26355,23329,25135,28723,28736,28874,27396,30281,30218,32507,NA,NA
100,861,3813,2901,2813,2058,7100,6785,6307,NA,9748,8169,8010,NA,14222,NA,NA,NA,NA,NA,19309,17443,18439,17933,21509,NA,NA,19105,26161,23199,24983,29473,28971,28768,27111,30958,30314,32103,NA,NA
101,936,3766,2961,2615,1997,6645,6672,6308,NA,10193,8171,8012,NA,14117,NA,NA,NA,NA,NA,19481,17117,18448,17692,21303,NA,NA,18898,25934,23328,24986,29474,28737,28189,27395,31055,30910,32461,NA,NA
102,1006,3757,2974,2468,2340,6643,6898,5911,NA,9744,8971,8013,NA,13975,NA,NA,NA,NA,NA,19401,17313,18438,17404,23214,NA,NA,19103,26357,23699,25455,29600,28739,28878,27536,31061,30315,32398,NA,NA
103,770,3737,2431,2683,2286,6644,6459,5815,NA,9751,8848,8144,NA,14223,NA,NA,NA,NA,NA,19482,17766,18441,17846,21412,NA,NA,19101,25690,23781,24702,29470,28738,27966,27539,31060,30219,32258,NA,NA
104,1005,3892,2430,2469,2273,6537,6900,6309,NA,10308,8850,7880,NA,14203,NA,NA,NA,NA,NA,19224,17450,18447,17714,23089,NA,NA,19110,26048,23337,25612,29348,28625,28873,27400,31057,30124,32486,NA,NA
105,772,3830,NA,2544,2341,6761,6460,5816,NA,9746,8854,8145,NA,14326,NA,NA,NA,NA,NA,19225,17627,18449,17695,23223,NA,NA,19025,26162,23696,25296,29471,29106,28872,27665,31058,31202,31832,NA,NA
